ALABAMA,,,,,,,
Lassen NF - Almanor District,530-258-2141,Chester,CA,http://www.fs.fed.us/r5/lassen/contact/,YES,YES,YES
Lassen NF - Eagle Lake District,530-257-4188,Susanville,CA,http://www.fs.fed.us/r5/lassen/contact/,YES,YES,YES
Lassen NF - Hat Creek District,530-336-5521,Fall River Mills,CA,http://www.fs.fed.us/r5/lassen/contact/,YES,YES,YES
Lassen NF - Main Office,530-257-2151,Susanville,CA,http://www.fs.fed.us/r5/lassen/contact/,YES,YES,YES
Lassen Volcanic National Park,530-595-4444,Mineral,CA,http://www.nps.gov/lavo/,YES,YES,YES
Lava Beds National Monument,530-667-8113,Tulelake,CA,http://www.nps.gov/labe/,YES,YES,YES
Los Padres NF - Main Office,805-968-6640,Goleta,CA,http://www.fs.fed.us/r5/lospadres/contact/,YES,YES,YES
Los Padres NF - Monterey District,831-385-5434,King City,CA,http://www.fs.fed.us/r5/lospadres/contact/,YES,YES,YES
Los Padres NF - Mt Pinos District,661-245-3731,Frazier Park,CA,http://www.fs.fed.us/r5/lospadres/contact/,YES,YES,YES
Los Padres NF - Ojai District,805-646-4348,Ojai,CA,http://www.fs.fed.us/r5/lospadres/contact/,YES,YES,YES
Los Padres NF - Santa Barbara District,805-967-3481,Santa Barbara,CA,http://www.fs.fed.us/r5/lospadres/contact/,YES,YES,YES
Los Padres NF - Santa Lucia District,805-925-9538,Santa Maria,CA,http://www.fs.fed.us/r5/lospadres/contact/,YES,YES,YES
Mendocino NF - Covelo District,707-983-6118,Covelo,CA,http://www.fs.fed.us/r5/mendocino/contactus/maps/,YES,YES,YES
Mendocino NF - Grindstone District,530-934-3316,Stonyford,CA,http://www.fs.fed.us/r5/mendocino/contactus/maps/,YES,YES,YES
Mendocino NF - Main Office,530-934-3316,Willows,CA,http://www.fs.fed.us/r5/mendocino/contactus/maps/,YES,YES,YES
Mendocino NF - Upper Lake District,707-275-2361,Upper Lake,CA,http://www.fs.fed.us/r5/mendocino/contactus/maps/,YES,YES,YES
Modoc NF - Big Valley District,530-299-3215,Adin,CA,http://www.fs.fed.us/r5/modoc/contact/index.shtml,YES,YES,YES
Modoc NF - Doublehead District,530-667-2246,Tulelake,CA,http://www.fs.fed.us/r5/modoc/contact/index.shtml,YES,YES,YES
Modoc NF - Main Office,530-233-5811,Alturas,CA,http://www.fs.fed.us/r5/modoc/contact/index.shtml,YES,YES,YES
Modoc NF - Warner Mountain District,530-279-6116,Cedarville,CA,http://www.fs.fed.us/r5/modoc/contact/index.shtml,YES,YES,YES
Mojave National Preserve,760-252-6108,Kelso,CA,http://www.nps.gov/moja/index.htm,YES,YES,YES
"Muir Woods National Monument (see also Golden Gate NRA, CA)",415-388-7368,Mill Valley,CA,http://www.nps.gov/muwo,YES,YES,YES
Needles BLM Field Office,760-326-7000,Needles,CA,http://www.blm.gov/ca/st/en/fo/needles.html,YES,YES,YES
New Melones Lake - Reclamation Central California Area Office,209-536-9094,Sonora,CA,http://www.usbr.gov/mp/ccao/newmelones/index.html Â ,YES,YES,YES
Palm Springs - South Coast BLM Field Office,760-833-7100,Palm Springs,CA,http://www.blm.gov/ca/st/en/fo/palmsprings.html,YES,YES,YES
Pinnacles National Monument,831-389-4485,Hollister,CA,http://www.nps.gov/pinn/,YES,YES,YES
Plumas NF - Beckwourth District,530-836-2575,Blairsden,CA,http://www.fs.fed.us/r5/plumas/contact/,YES,YES,YES
Plumas NF - Feather River District,530-534-6500,Oroville,CA,http://www.fs.fed.us/r5/plumas/contact/,YES,YES,YES
Plumas NF - Main Office,530-283-2050,Quincy,CA,http://www.fs.fed.us/r5/plumas/contact/,YES,YES,YES
Plumas NF - Mt. Hough District,530-283-0555,Quincy,CA,http://www.fs.fed.us/r5/plumas/contact/,YES,YES,YES
Point Reyes National Seashore,415-464-5100,Point Reyes Station,CA,http://www.nps.gov/pore,YES,YES,YES
Redding BLM Field Office,530-224-2100,Redding,CA,http://www.blm.gov/ca/st/en/fo/redding.html,YES,YES,YES
Sacramento NWR,530-934-2801,Willows,CA,http://www.fws.gov/sacramentovalleyrefuges/sac.htm,YES,YES,YES
San Bernardino NF - Front Country District - San Gorgonio Ranger Station,909-382-2881,Mentone,CA,http://www.fs.fed.us/r5/sanbernardino/contact/index.shtml,YES,YES,YES
San Bernardino NF - Front Country District - Cajon Ranger Station,909-382-2850,Lytle Creek,CA,http://www.fs.fed.us/r5/sanbernardino/contact/index.shtml,YES,YES,YES
San Bernardino NF - Main Office,909-382-2600,San Bernardino,CA,http://www.fs.fed.us/r5/sanbernardino/contact/index.shtml,YES,YES,YES
San Bernardino NF - Mountaintop District - Big Bear Ranger Station,909-382-2790,Fawnskin,CA,http://www.fs.fed.us/r5/sanbernardino/contact/index.shtml,YES,YES,YES
San Bernardino NF - Mountaintop District - Arrowhead Ranger Station,909-382-2782,Skyforest,CA,http://www.fs.fed.us/r5/sanbernardino/contact/index.shtml,YES,YES,YES
San Bernardino NF - San Jacinto District,909-382-2921,Idyllwild,CA,http://www.fs.fed.us/r5/sanbernardino/contact/index.shtml,YES,YES,YES
San Francisco Maritime National Historical Park,415-561-7000,San Francisco,CA,http://www.nps.gov/safr/,YES,YES,YES
San Luis NWR,209-826-3508,Los Banos,CA,http://www.fws.gov/sanluis/sanluis_info.htm,NO,YES,YES
Sequoia & Kings Canyon National Park,559-565-3341,Three Rivers,CA,http://www.nps.gov/seki/,YES,YES,YES
Sequoia NF - Hume Lake District,559-338-2251,Dunlap,CA,http://www.fs.fed.us/r5/sequoia/contactus/,YES,YES,YES
Sequoia NF - Kern River District - Kernville Office,760-376-3781,Kernville,CA,http://www.fs.fed.us/r5/sequoia/contactus/,YES,YES,YES
Sequoia NF - Kern River District - Lake Isabella Office,760-379-5646,Lake Isabella,CA,http://www.fs.fed.us/r5/sequoia/contactus/,YES,YES,YES
